dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,5,0.0003390896320343284,100,100,0,2.200000000000002
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,1,0.00062857209181632623,100,100,0,-5.7999999999999936
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,2,0.055135894582501455,78.799999999999997,87.200000000000003,8.4000000000000057,-0.18744469799283348
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,3,0.048565582726756873,62.799999999999997,70.199999999999989,7.3999999999999915,-2.3354564755838636
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,4,0.039384602878104247,51.600000000000001,57.799999999999997,6.1999999999999957,2.2933934175585424
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,5,0.038071846032244672,42.799999999999997,48.799999999999997,6,7.3234257698789662
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,1,0.00062857209181632623,100,100,0,-5.7999999999999936
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,2,0.00062840823704590765,100,100,0,1.4000000000000012
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,3,0.00062848702510276411,100,100,0,-1.8000000000000016
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,4,0.00062838872073767149,100,100,0,-2.9999999999999916
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,5,0.00062839533896708044,100,100,0,1.7999999999999905
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,1,0.0011422741246552848,100,100,0,-5.3999999999999932
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,2,0.039634812398937735,81.599999999999994,87.400000000000006,5.8000000000000114,-0.25126755507695053
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,3,0.04669116991328548,65.799999999999997,72.599999999999994,6.7999999999999972,-0.22524219816288937
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,4,0.0342725392448755,55.200000000000003,60.199999999999996,4.9999999999999929,4.5380133853339055
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,5,0.013310724731855683,49.799999999999997,51.800000000000004,2.0000000000000071,6.8381634646694884
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,1,0.0011422741246552848,100,100,0,-5.3999999999999932
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,2,0.0011417110362902383,100,100,0,-0.80000000000000071
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,3,0.0011417782454704595,100,100,0,-0.40000000000000036
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,4,0.0011415803208953967,100,100,0,-2.4000000000000021
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,5,0.0011417222389552562,100,100,0,2.200000000000002
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,1,0.0022804378935982195,100,100,0,2.200000000000002
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,2,0.0037867876289960911,99.400000000000006,99.200000000000003,0.20000000000000284,1.8165444278574694
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,3,0.0019350486949153423,99,98.599999999999994,0.40000000000000568,0.40895773147293646
