dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,99,99,True,5,0.01056278160303048,52.600000000000001,54.400000000000006,1.8000000000000043,-1.7669425184522525,3.2000000000000011
Base,Watts–Strogatz,DP,Watts–Strogatz,Watts–Strogatz,99,99,False,5,0.0011265390650714302,100,100,0,-4.5999999999999925,0
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0059441252597848271,99.400000000000006,99,0.40000000000000568,0.81051968375911443,0.75
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0019617227500071666,100,100,0,0.80000000000000071,0
Variant I,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,5,0.0061726281642914271,99.799999999999997,85.200000000000003,14.599999999999994,0.26908276647190643,13.149999999999995
Variant I,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,False,5,0.00017918813228601227,100,100,0,1.6000000000000014,0
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,True,5,0.0061670190095901578,99.799999999999997,85.200000000000003,14.599999999999994,0.26908276647190643,13.149999999999995
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,False,5,0.00018112158775329679,100,100,0,1.6000000000000014,0
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,True,5,0.018261776720856271,46.200000000000003,49,2.7999999999999972,4.7990105132962313,1.3499999999999996
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,False,5,0.00055392894532590997,100,100,0,1.0000000000000009,0
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,5,0.026079423964306847,50,54.400000000000006,4.4000000000000057,1.7147058823529404,2.4500000000000028
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.0010134183111042416,100,100,0,-0.20000000000000018,0
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0059363266094331069,99.799999999999997,99.799999999999997,0,-1.0020040080160331,0.050000000000000711
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,5,0.0020194521409434563,100,100,0,-1.0000000000000009,0
Variant I,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,5,0.0017193812131881536,99.799999999999997,87.799999999999997,12,0.48297049680225967,10.549999999999997
Variant I,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,5,0.00023081910610200929,100,100,0,1.4000000000000012,0
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,5,0.0017304420471191406,99.799999999999997,87.799999999999997,12,0.48297049680225967,10.549999999999997
Variant I,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,5,0.0002210973501205471,100,100,0,1.4000000000000012,0
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,5,0.020975483698573993,42,45.600000000000001,3.6000000000000014,7.8696741854636603,2.5000000000000036
Variant I,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,5,0.00055409265261552321,100,100,0,4.0000000000000036,0
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,5,0.00046816124487580879,47.399999999999999,47.399999999999999,0,5.9071729957805967,0.5
Variant I,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,5,0.0010142330331631699,100,100,0,4.5999999999999925,0
Variant I,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,5,0.0058336222971556717,100,99.599999999999994,0.40000000000000568,0.80401606425702932,0.40000000000000568
